name,expenditures,contributions,count
SCOTT BEASON,2441,3250,4
SHADRACK DWIGHT MCGILL,128,3125,1
SHADRACK MCGILL,2960,3038,9
HENRY A WHITE,5569,2900,3
MONICA ANGELISA SWIGER,1823,2806,3
RONNIE REED,2743,2743,5
KATY S CAMPBELL,2360,2704,29
JOHN HENRY ENGLAND JR.,3350,2598,2
CHAD A LAQUA,2546,2546,1
CHARLES BERNARD LANGHAM,2397,2500,1
STEPHANIE E. ENGLE,1498,2500,1
JOHN HARDY,2006,2429,6
STEVEN LAMAR WHITMIRE II,2378,2428,2
JENIFER C HOLT,2417,2417,2
M. RYAN RUMSEY,2398,2398,1
CHUCK MALONE,2398,2398,1
BRENT M CRAIG,2389,2388,2
TAMMY JACKSON MONTGOMERY,2378,2380,1
DON WORD,2378,2378,1
JONATHAN A BROWN,2378,2378,1
MITCHELL JOHN HOWIE,1366,2366,3
FRANK BERTARELLI,4590,2300,3
LAMAR HEATH JONES,1531,2285,13
CHARLOTTE BORDEN MEADOWS,24227,2250,6
AMANDA G SCOTT,1643,2250,11
JAMES FLETCHER HUGHEY III,371,2000,1
WILLIAM STANLEY GARNER JR.,2378,2000,1
TRACY LEON HAWSEY,1463,1850,4
ROBERT LAKE MINOR,2378,1800,1
TONTA DRAPER,212,1800,2
BRIAN DOUGLAS BROOKS,0,1755,5
RALPH CHARLES CARMICHAEL SR.,1735,1736,2
BRYAN BENNETT,1293,1687,5
ANGELA LAREESE FEARS,379,1595,4
JOHN D. JAMES,1393,1593,2
JAMES ANTHONY ZACHERO JR.,428,1592,5
JOHN WAYNE YOUNG,253,1500,3
JOHN MICHAEL MASTIN,3027,1325,10
MICHAEL LYNN WILLIAMS,1244,1244,3
STEPHEN PATRICK CARR II,868,1220,18
DOUGLAS L NEIGHBORS JR.,1099,1154,8
SUSAN B HIGHTOWER,6507,1025,3
JOHN ADAMS,744,1000,1
CHAD AUSTIN FINCHER,3263,1000,1
JOHNNY HARDWICK,6039,1000,2
BARRY SCOTT WILLINGHAM,860,910,3
TRAVIS DEREL COLQUETT,662,725,3
CARMEN BOSCH,2587,723,9
ALISON AUSTIN,4223,700,2
HEATH JONES,632,538,6
CURTIS HARVEY,1356,500,1
JAY KENNETH LOVE,5176,408,1
EUGENE REESE,6152,221,3
JESHUA D SCREWS,219,219,4
STEPHEN SEXTON,34123,200,2
LEIGH LACHINE,0,176,3
N,0,100,1
MITCHELL SCOTT FLOYD,369,75,1
HOWARD HAWK,25483,58,3
GREGORY M WILLIAMS,2921,25,1
OLIVER WESLEY LONG,2099,3,1
ROBERT L. BROUSSARD,2504,2,1
MARC KEAHEY,5759,0,0
JOE NEAL HOWELL,1357,0,0
JOSEPH LOUIS BOOHAKER,1044,0,0
BRAD MENDHEIM,2397,0,0
WILLIAM A. SHASHY,6703,0,0
JAMIE ISON,12789,0,0
LILES CLIFTON BURKE,2966,0,0
BRADLEY R. BYRNE,2375,0,0
J LANGFORD FLOYD,2598,0,0
DALE W. STRONG,20625,0,0
"JACQUELYN ""LYN"" STUART",4076,0,0
JAMES GLENN GOGGANS,2378,0,0
TERRY WAYNE HENDRIX,1798,0,0
JOSEPH MITCHELL,2332,0,0
TOMMY ELIAS BRYAN,12490,0,0
JOHN B. BUSH,725,0,0
JAMES F ROBINSON JR.,5283,0,0
SCHUYLER H. RICHARDSON III,2928,0,0
CHRISTOPHER MICHAEL MCINTYRE,59,0,0
RANDY THOMAS HESTER,2369,0,0
ARTHUR L CRAWFOD SR.,72,0,0
PAUL JOHN DEMARCO,500,0,0
JEFFREY T BROCK,1014,0,0
STEVEN D. KING,405,0,0
"MICHAEL G ""MIKE"" GRAFFEO",2258,0,0
SCOTT PARKER TAYLOR,58,0,0
ALAN MANN,1668,0,0
KAREN KIMBRELL HALL,41,0,0
BRAXTON PAUL SHERLING,300,0,0
TIMOTHY ALTON EVANS,5,0,0
